X,Y,objectid,uri,name,feature_date,feature_source,attribute_date,attribute_source,source_ufi,source_jurisdiction,custodian_agency,custodian_licensing,loading_date,building_id,operationalstatus,height,significance,address,suburb,site_class,local_construction_type,local_year_built,state,source_supply_date,featuresubtype
147.087725841,-34.308080958,21,,MIRROOL RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,e6e39bda-9f98-3657-91a5-022087344d10,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
147.201939133,-34.815920246,22,,COOLAMON RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,404d7f73-d385-3286-9c6e-f51d2da186e2,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.475690016,-34.457176873,23,,CROOKWELL RAILWAY STATION,2013/11/01 00:00:00+00,Standard Topographic Capture Program,2009/02/25 00:00:00+00,,c22ed5a9-f01f-3a40-bec9-29c5c871c23a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.651370558,-35.069949181,24,,TARAGO RAILWAY STATION,2010/09/18 00:00:00+00,Standard Topographic Capture Program,2002/02/25 00:00:00+00,,60298b78-21be-351f-a2b8-7882d4ca4c12,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
148.173362095,-33.142256826,25,,PARKES RAILWAY STATION,2012/05/17 00:00:00+00,Standard Topographic Capture Program,2009/03/27 00:00:00+00,,c5241240-0fa4-34d9-9218-c89bc26ddaa7,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
147.256593485,-33.518072466,26,,BURCHER RAILWAY STATION,2010/09/18 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,6c5a459b-22d7-3e84-acf2-f39bec77fd00,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
147.358211023,-33.688417503,27,,LAKE COWAL RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,f7d5b664-7449-317a-b0f6-f7609645fac9,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.583291051,-33.425658539,28,,BATHURST RAILWAY STATION,2010/09/18 00:00:00+00,Original 1:25000 Mapping Program,1984/01/01 00:00:00+00,,a57bc3f5-8ced-380c-b9e7-e1eec3c80905,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.651960916,-33.433471892,29,,RAGLAN RAILWAY STATION,2013/11/01 00:00:00+00,Original 1:25000 Mapping Program,1984/01/01 00:00:00+00,,7fcdd478-97b8-3b1f-a667-296e933afc06,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.987326759,-33.14875734,30,,CAPERTEE RAILWAY STATION,2010/09/18 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,6cef2a65-2c32-340b-b835-6e5efed4ab28,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.136679548,-33.612569912,31,,CARCOAR RAILWAY STATION,2013/04/19 00:00:00+00,Original 1:25000 Mapping Program,1987/01/01 00:00:00+00,,e894cee7-d257-3890-8de1-25d0b8cdfbfa,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
148.700329542,-33.834466405,32,,COWRA RAILWAY STATION,2013/04/19 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,c76cc9ff-3950-328c-9cc2-a8020b51e9a9,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
148.976865851,-33.254281191,33,,BORENORE RAILWAY STATION,2013/04/19 00:00:00+00,Original 1:50000 Mapping Program,1977/01/01 00:00:00+00,,e38ed917-3fe8-3d1d-b8aa-69c347f1475b,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.182689064,-33.448750682,34,,MILLTHORPE RAILWAY STATION,2013/04/19 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,668a13af-d5ff-3e6b-854c-e7c2f14234ea,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
148.871780347,-33.092709691,35,,MOLONG RAILWAY STATION,2013/04/19 00:00:00+00,Standard Topographic Capture Program,2009/11/16 00:00:00+00,,a9c29ae4-e571-340d-a32e-c61b75e847a2,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.366773928,-33.582976983,36,,NEWBRIDGE RAILWAY STATION,2013/04/19 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,c885ab2d-3b13-34d8-8d7d-38ceaa8a7e7a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.25452184,-33.527027524,37,,BLAYNEY RAILWAY STATION,2010/09/18 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,c43a5188-40f5-38de-83c4-f1e93510e3bf,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.101319218,-33.300887549,38,,INDIAN PACIFIC RAILWAY STATION,2013/11/01 00:00:00+00,Standard Topographic Capture Program,2012/10/24 00:00:00+00,,45b7333f-0c43-34b7-94b4-2ae101a2fa20,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.103832967,-33.286546622,39,,ORANGE RAILWAY STATION,2013/06/03 00:00:00+00,Standard Topographic Capture Program,2012/10/24 00:00:00+00,,398a27fa-e8af-3d59-a42b-134eff6e9bda,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.907581445,-33.524121253,40,,TARANA RAILWAY STATION,2010/09/18 00:00:00+00,Standard Topographic Capture Program,2007/09/12 00:00:00+00,,77fd2981-0be9-386a-a19f-aec414b78eff,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.522274894,-33.513604638,41,,GEORGES PLAINS RAILWAY STATION,2013/04/19 00:00:00+00,Standard Topographic Capture Program,2005/01/01 00:00:00+00,,bf4817fd-37a3-374a-8e63-438ae3be1d13,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
145.53625589,-33.47872737,42,,HILLSTON RAILWAY STATION,2013/11/01 00:00:00+00,Standard Topographic Capture Program,2007/09/12 00:00:00+00,,151cd98d-1916-3cea-b7bb-183393a8415c,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
146.624929413,-33.876196168,43,,WEETHALLE RAILWAY STATION,2013/04/19 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,38def1fe-84d0-396b-a312-fed07d73ee3a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
146.720802876,-35.226304858,44,,LOCKHART RAILWAY STATION,2021/04/12 00:00:00+00,Standard Topographic Capture Program,2007/09/12 00:00:00+00,,d15b6f3b-016c-39c9-beb6-e19194b202d4,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
146.38861892,-35.994215695,45,,COROWA RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,0ebe3483-36c0-3938-afd4-50c8b81e10dd,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
147.985224311,-32.031039164,46,,TRANGIE RAILWAY STATION,2014/01/24 00:00:00+00,Standard Topographic Capture Program,2012/08/01 00:00:00+00,,136f7966-9dab-33ba-8276-f1f024148e65,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
146.557061329,-34.740502877,47,,NARRANDERA RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,e5be601f-a498-3341-b73f-6b3fe09b48a5,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
146.047662459,-34.286594042,48,,GRIFFITH RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2007/09/14 00:00:00+00,,ff77baed-7390-3f36-9094-016243cfe818,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
146.571876293,-34.28368191,49,,BARELLAN RAILWAY STATION,2013/11/01 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,6226a7a6-b077-3788-b8dd-ffb2923ebbe4,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
148.751632621,-32.932105123,50,,CUMNOCK RAILWAY STATION,2014/05/01 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2005/01/01 00:00:00+00,,2eba5631-41e7-320e-80a7-ad02f85bcd37,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.947531352,-32.904848802,51,,CLANDULLA RAILWAY STATION,2013/04/19 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2005/01/22 00:00:00+00,,5553728b-e043-33c5-a836-ea3b692602be,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.970168772,-32.859649997,52,,KANDOS RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2006/03/07 00:00:00+00,,80816903-68cf-3c9c-bd9a-9ebf875d8933,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
149.587502229,-32.601331241,53,,MUDGEE RAILWAY STATION,2013/04/19 00:00:00+00,Standard Topographic Capture Program,2009/11/18 00:00:00+00,,99a40420-21fd-39eb-a8ec-5791459f312a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
148.94683492,-32.553891687,54,,WELLINGTON RAILWAY STATION,2010/09/18 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2006/05/26 00:00:00+00,,1310d990-289f-3acb-a581-91a7efab98a4,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
147.197093504,-31.562730537,55,,NYNGAN RAILWAY STATION,2013/09/30 00:00:00+00,Commonwealth Govt (Geoscience Aust) Topo Update Program,2008/01/01 00:00:00+00,,777633e1-597b-31fa-9b51-cf80f70a7d15,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Abandoned,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.354507913,-33.383206714,56,,NIAGARA PARK RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2011/10/24 00:00:00+00,,242733d1-1b62-33b4-bf7b-c86e4a83217b,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.344441465,-33.394699806,57,,NARARA RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2011/10/24 00:00:00+00,,be7720e4-b36e-34f1-8fed-9be9921d88d5,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.318544918,-33.466402748,58,,KOOLEWONG RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2011/10/24 00:00:00+00,,dc364b3e-7e71-37fe-bdef-0d16aca68561,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.341736162,-33.423577221,59,,GOSFORD RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2011/10/24 00:00:00+00,,530896c2-ad5a-3259-930b-d50760c1d453,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.32847665,-33.446132253,60,,POINT CLARE RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2011/10/24 00:00:00+00,,470e87b7-2aa1-3ec0-9a36-ab2ee121518b,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.318585113,-33.450954548,61,,TASCOTT RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2011/10/24 00:00:00+00,,7fd10a20-b56a-3c3e-bf1e-e332426a0652,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.226406389,-33.547081542,62,,HAWKESBURY RIVER RAILWAY STATION,2014/05/16 00:00:00+00,Standard Topographic Capture Program,2000/02/14 00:00:00+00,,492cd4ce-1ae2-3027-accb-bf7b784b753b,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
150.563786428,-33.698795502,63,,SPRINGWOOD RAILWAY STATION,2014/05/19 00:00:00+00,Standard Topographic Capture Program,2000/06/12 00:00:00+00,,4f14890f-f6a6-309c-abad-d91da439473f,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
150.534999413,-33.696402128,64,,FAULCONBRIDGE RAILWAY STATION,2014/05/19 00:00:00+00,Standard Topographic Capture Program,2000/06/12 00:00:00+00,,0360f155-453f-3595-a90d-3cb1022a33e4,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
150.583930187,-33.704465531,65,,VALLEY HEIGHTS RAILWAY STATION,2014/05/19 00:00:00+00,Standard Topographic Capture Program,2000/06/12 00:00:00+00,,03d46fe7-4716-3e92-885b-1ecd24ffdf4e,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
